날짜,총 예매인원
2011-07-03,282410
2011-07-04,104709
2011-07-05,107193
2011-07-06,96754
2011-07-07,98735
2011-07-08,125349
2011-07-09,287369
2011-07-10,229136
2011-07-11,75178
2011-07-12,70817
2011-07-13,128941
2011-07-14,119479
2011-07-15,146271
2011-07-16,283091
2011-07-17,275510
2011-07-18,102802
2011-07-19,99371
2011-07-20,110482
2011-07-21,114761
2011-07-22,129127
2011-07-23,272544
2011-07-24,246634
2011-07-25,102641
2011-07-26,99517
2011-07-27,89609
2011-07-28,121306
2011-07-29,153605
2011-07-30,267896
2011-07-31,233282
2011-08-01,169265
2011-08-02,157833
2011-08-03,140800
2011-08-04,154825
2011-08-05,171727
2011-08-06,275786
2011-08-07,242342
2011-08-08,104913
2011-08-09,105225
2011-08-10,123760
2011-08-11,142798
2011-08-12,159783
2011-08-13,299352
2011-08-14,302151
2011-08-15,313360
2011-08-16,123106
2011-08-17,134988
2011-08-18,131060
2011-08-19,143050
2011-08-20,289257
2011-08-21,259012
2011-08-22,100532
2011-08-23,100773
2011-08-24,93636
2011-08-25,89787
2011-08-26,105079
2011-08-27,237586
2011-08-28,209790
2011-08-29,72549
2011-08-30,73385
2011-08-31,84869
2011-09-01,73182
2011-09-02,89993
2011-09-03,206982
2011-09-04,180965
2011-09-05,54106
2011-09-06,52316
2011-09-07,60487
2011-09-08,62765
2011-09-09,110073
2011-09-10,222986
2011-09-11,204269
2011-09-12,269029
2011-09-13,285521
2011-09-14,119914
2011-09-15,53744
2011-09-16,62944
2011-09-17,170626
2011-09-18,134739
2011-09-19,39319
2011-09-20,39583
2011-09-21,35193
2011-09-22,72007
2011-09-23,89439
2011-09-24,177578
2011-09-25,162950
2011-09-26,66778
2011-09-27,67947
2011-09-28,76374
2011-09-29,114364
2011-09-30,138212
2011-10-01,240900
2011-10-02,237691
2011-10-03,229457
2011-10-04,69026
2011-10-05,67641
2011-10-06,69503
2011-10-07,88027
2011-10-08,162012
2011-10-09,143490
2011-10-10,51692
2011-10-11,49731
2011-10-12,69493
2011-10-13,66621
2011-10-14,89941
2011-10-15,209052
2011-10-16,174915
2011-10-17,53495
2011-10-18,52564
2011-10-19,57012
2011-10-20,74178
2011-10-21,102274
2011-10-22,213791
2011-10-23,171853
2011-10-24,66630
